#{"CCD_temperature": "-88", "FELP": "1", "FELRR": "0.75", "FEL_lambda": "10", "FEL_pulses": 16, "NIRP": "137.505", "NIR_lambda": "764", "Sample_Temp": "17", "addenda": [-16598.725, "FEL_power_sweep"], "bg_file_name": "testBG19", "center_lambda": 751.5, "dark_region": null, "exposure": 20.0, "gain": 125, "grating": 2, "series": "137.505", "shot_normalized": true, "slits": "40", "subtrahenda": ["testBG"], "y_max": 80, "y_min": 25}
#

Wavelength,Signal
nm,arb. u.
nan,nan
nan,nan
1.666785,0.766016
1.666752,4.453516
1.666718,0.828516
1.666685,0.516016
1.666651,1.266016
1.666618,2.453516
1.666584,4.828516
1.666551,1.516016
1.666517,2.766016
1.666484,0.516016
1.666450,0.891016
1.666417,0.828516
1.666383,0.516016
1.666350,2.766016
1.666316,1.453516
1.666283,2.828516
1.666249,5.891016
1.666216,2.266016
1.666182,0.641016
1.666149,-0.296484
1.666115,0.891016
1.666082,0.328516
1.666048,7.203516
1.666015,-0.421484
1.665981,1.328516
1.665948,2.766016
1.665914,2.766016
1.665881,4.953516
1.665847,2.266016
1.665814,-0.171484
1.665781,2.141016
1.665747,2.891016
1.665714,-0.483984
1.665680,2.953516
1.665647,3.391016
1.665613,6.016016
1.665580,0.516016
1.665546,-1.171484
1.665513,5.141016
1.665479,3.516016
1.665446,2.016016
1.665412,4.203516
1.665379,2.453516
1.665346,0.641016
1.665312,0.891016
1.665279,-0.171484
1.665245,0.266016
1.665212,0.578516
1.665178,3.703516
1.665145,0.391016
1.665111,2.453516
1.665078,3.578516
1.665045,-0.858984
1.665011,6.391016
1.664978,4.016016
1.664944,2.703516
1.664911,0.641016
1.664877,6.953516
1.664844,2.141016
1.664811,3.141016
1.664777,4.453516
1.664744,2.391016
1.664710,0.828516
1.664677,1.016016
1.664644,7.078516
1.664610,0.953516
1.664577,-1.108984
1.664543,0.641016
1.664510,-0.733984
1.664476,3.641016
1.664443,-0.608984
1.664410,4.016016
1.664376,-0.983984
