#monitor on
#{"CCD_temperature": "-89", "FELP": "1.3", "FELRR": "0.75", "FEL_lambda": "610", "NIRP": "679", "NIR_lambda": "797.1", "addenda": [0, "longExposures42"], "bg_file_name": "longExposuresBG27", "center_lambda": 750.5, "dark_region": null, "exposure": 200.0, "gain": 135, "grating": 2, "series": "", "slits": "50", "subtrahenda": ["longExposuresBG26"], "y_max": 400, "y_min": 0}
Wavelength,Signal
nm,arb. u.
742.069002,-878.000000
742.083980,-944.000000
742.098958,-851.000000
742.113936,-996.000000
742.128914,-913.000000
742.143891,-914.000000
742.158869,-759.000000
742.173846,-922.000000
742.188823,-929.000000
742.203799,-801.000000
742.218776,-816.000000
742.233752,-749.000000
742.248728,-817.000000
742.263704,-707.000000
742.278680,-811.000000
742.293655,-831.000000
742.308630,-808.000000
742.323606,-770.000000
742.338581,-647.000000
742.353555,-858.000000
742.368530,-883.000000
742.383504,-833.000000
742.398478,-812.000000
742.413452,-770.000000
742.428426,-873.500000
742.443400,-967.000000
742.458373,-899.000000
742.473346,-761.000000
742.488319,-853.000000
742.503292,-815.000000
742.518264,-879.000000
742.533237,-837.000000
742.548209,-822.000000
742.563181,-819.000000
742.578153,-869.000000
742.593124,-883.000000
742.608096,-867.000000
742.623067,-810.000000
742.638038,-816.000000
742.653009,-880.000000
742.667979,-808.000000
742.682950,-891.000000
742.697920,-845.000000
742.712890,-954.000000
742.727860,-1035.500000
742.742829,-881.000000
742.757799,-915.000000
742.772768,-886.500000
742.787737,-926.000000
742.802706,-889.000000
742.817675,-851.000000
742.832643,-888.000000
742.847611,-875.000000
742.862580,-857.000000
742.877547,-831.000000
742.892515,-839.000000
742.907483,-777.000000
742.922450,-904.000000
742.937417,-877.000000
742.952384,-865.000000
742.967351,-895.000000
742.982317,-856.000000
742.997283,-819.000000
743.012249,-904.000000
743.027215,-850.000000
743.042181,-872.000000
743.057147,-819.000000
743.072112,-947.000000
743.087077,-927.000000
743.102042,-906.000000
743.117007,-903.000000
743.131971,-954.000000
743.146936,-876.000000
743.161900,-774.000000
743.176864,-741.000000
743.191827,-919.000000
743.206791,-855.000000
743.221754,-783.000000
743.236717,-764.000000
743.251680,-900.000000
743.266643,-862.000000
743.281606,-791.000000
743.296568,-870.000000
743.311530,-831.000000
743.326492,-702.000000
743.341454,-795.000000
743.356416,-816.000000
743.371377,-930.000000
743.386338,-803.000000
743.401299,-876.000000
743.416260,-740.000000
743.431221,-745.000000
743.446181,-846.000000
743.461141,-837.000000
743.476101,-892.000000
743.491061,-880.000000
743.506021,-752.000000
743.520980,-823.000000
743.535939,-792.000000
743.550898,-802.000000
743.565857,-863.000000
743.580816,-804.000000
743.595774,-822.000000
743.610732,-829.000000
743.625690,-785.000000
743.640648,-816.000000
743.655606,-698.000000
743.670563,-821.000000
743.685521,-757.000000
743.700478,-793.000000
743.715434,-912.000000
743.730391,-823.000000
743.745348,-843.000000
743.760304,-859.000000
743.775260,-932.000000
743.790216,-838.000000
743.805171,-842.000000
743.820127,-841.000000
743.835082,-855.000000
743.850037,-879.000000
743.864992,-734.000000
743.879947,-766.000000
743.894901,-855.000000
743.909856,-857.000000
743.924810,-799.500000
743.939764,-830.500000
743.954717,-969.500000
743.969671,-910.000000
743.984624,-855.000000
743.999577,-800.000000
744.014530,-804.000000
744.029483,-817.000000
744.044435,-911.000000
744.059387,-806.000000
744.074340,-804.000000
744.089292,-916.000000
744.104243,-725.000000
744.119195,-903.000000
744.134146,-798.000000
744.149097,-849.000000
744.164048,-849.000000
744.178999,-894.000000
744.193949,-909.000000
744.208900,-726.000000
744.223850,-854.000000
744.238800,-884.000000
744.253749,-950.000000
744.268699,-754.000000
744.283648,-968.000000
744.298597,-898.000000
744.313546,-777.000000
744.328495,-815.000000
744.343444,-916.000000
744.358392,-897.000000
744.373340,-911.000000
744.388288,-891.000000
744.403236,-777.000000
744.418183,-715.000000
744.433131,-921.000000
744.448078,-871.000000
744.463025,-711.000000
744.477972,-805.000000
744.492918,-870.000000
744.507865,-866.000000
744.522811,-861.000000
744.537757,-838.000000
744.552702,-845.000000
744.567648,-839.000000
744.582593,-854.000000
744.597539,-863.000000
744.612484,-773.000000
744.627428,-815.000000
744.642373,-822.000000
744.657317,-938.000000
744.672261,-922.000000
744.687205,-803.000000
744.702149,-871.000000
744.717093,-786.000000
744.732036,-926.000000
744.746979,-876.000000
744.761922,-811.000000
744.776865,-760.000000
744.791808,-905.000000
744.806750,-909.000000
744.821692,-848.000000
744.836634,-803.000000
744.851576,-909.000000
744.866518,-916.000000
744.881459,-827.000000
744.896400,-833.000000
744.911341,-787.000000
744.926282,-849.000000
744.941223,-765.000000
744.956163,-772.000000
744.971103,-912.000000
744.986043,-767.000000
745.000983,-780.000000
745.015923,-811.000000
745.030862,-801.000000
745.045801,-845.000000
745.060740,-837.000000
745.075679,-852.000000
745.090618,-956.000000
745.105556,-843.000000
745.120494,-897.000000
745.135432,-788.000000
745.150370,-831.000000
745.165308,-841.000000
745.180245,-758.000000
745.195182,-848.000000
745.210119,-919.000000
745.225056,-820.000000
745.239993,-874.000000
745.254929,-830.000000
745.269865,-982.000000
745.284801,-822.000000
745.299737,-810.000000
745.314673,-855.000000
745.329608,-804.000000
745.344543,-869.000000
745.359478,-922.000000
745.374413,-873.000000
745.389348,-830.000000
745.404282,-844.000000
745.419216,-851.000000
745.434150,-858.000000
745.449084,-916.000000
745.464018,-945.000000
745.478951,-746.000000
745.493885,-840.000000
745.508818,-847.000000
745.523750,-799.000000
745.538683,-873.000000
745.553615,-833.000000
745.568548,-817.000000
745.583480,-884.000000
745.598411,-849.000000
745.613343,-830.000000
745.628274,-791.000000
745.643206,-869.000000
745.658137,-840.000000
745.673068,-823.000000
745.687998,-855.000000
745.702929,-831.000000
745.717859,-800.000000
745.732789,-823.000000
745.747719,-885.000000
745.762648,-833.000000
745.777578,-866.000000
745.792507,-848.000000
745.807436,-855.000000
745.822365,-880.000000
745.837293,-909.000000
745.852222,-879.000000
745.867150,-843.000000
745.882078,-832.000000
745.897006,-803.000000
745.911933,-843.000000
745.926861,-893.000000
745.941788,-753.000000
745.956715,-853.000000
745.971642,-929.000000
745.986568,-906.000000
746.001495,-859.000000
746.016421,-852.000000
746.031347,-865.000000
746.046273,-807.000000
746.061198,-832.000000
746.076124,-785.000000
746.091049,-845.000000
746.105974,-893.000000
746.120899,-819.000000
746.135823,-871.000000
746.150748,-775.000000
746.165672,-944.000000
746.180596,-811.000000
746.195520,-791.000000
746.210443,-786.000000
746.225367,-835.000000
746.240290,-752.000000
746.255213,-827.000000
746.270136,-877.000000
746.285058,-948.000000
746.299981,-761.000000
746.314903,-893.000000
746.329825,-844.000000
746.344747,-841.000000
746.359668,-834.000000
746.374590,-822.000000
746.389511,-849.000000
746.404432,-917.000000
746.419353,-853.000000
746.434273,-790.000000
746.449194,-735.000000
746.464114,-812.000000
746.479034,-770.000000
746.493954,-770.000000
746.508873,-856.000000
746.523793,-948.000000
746.538712,-828.000000
746.553631,-817.000000
746.568550,-909.000000
746.583468,-966.000000
746.598386,-811.000000
746.613305,-765.000000
746.628223,-829.000000
746.643140,-814.000000
746.658058,-837.000000
746.672975,-805.000000
746.687892,-732.000000
746.702809,-783.000000
746.717726,-776.000000
746.732643,-814.000000
746.747559,-885.000000
746.762475,-844.000000
746.777391,-843.000000
746.792307,-781.000000
746.807223,-864.000000
746.822138,-911.000000
746.837053,-876.000000
746.851968,-800.000000
746.866883,-920.000000
746.881797,-914.000000
746.896712,-894.000000
746.911626,-874.000000
746.926540,-864.000000
746.941453,-902.000000
746.956367,-852.000000
746.971280,-765.000000
746.986193,-852.000000
747.001106,-850.000000
747.016019,-839.000000
747.030932,-773.000000
747.045844,-857.000000
747.060756,-916.000000
747.075668,-769.000000
747.090580,-823.000000
747.105491,-907.000000
747.120402,-790.000000
747.135314,-790.000000
747.150224,-802.000000
747.165135,-870.000000
747.180046,-804.000000
747.194956,-903.000000
747.209866,-789.000000
747.224776,-896.000000
747.239686,-880.000000
747.254595,-822.000000
747.269504,-732.000000
747.284414,-780.000000
747.299322,-905.000000
747.314231,-869.000000
747.329140,-834.000000
747.344048,-756.000000
747.358956,-846.000000
747.373864,-922.000000
747.388771,-865.000000
747.403679,-902.000000
747.418586,-765.000000
747.433493,-763.000000
747.448400,-833.000000
747.463307,-787.000000
747.478213,-840.000000
747.493119,-872.000000
747.508026,-853.000000
747.522931,-836.000000
747.537837,-881.000000
747.552742,-818.000000
747.567648,-822.000000
747.582553,-894.000000
747.597458,-840.000000
747.612362,-839.000000
747.627267,-902.000000
747.642171,-918.000000
747.657075,-875.000000
747.671979,-868.000000
747.686882,-855.000000
747.701786,-828.000000
747.716689,-869.000000
747.731592,-919.000000
747.746495,-848.000000
747.761397,-880.000000
747.776300,-852.000000
747.791202,-860.000000
747.806104,-916.000000
747.821006,-769.000000
747.835907,-734.000000
747.850809,-740.000000
747.865710,-783.000000
747.880611,-829.000000
747.895512,-844.000000
747.910412,-766.000000
747.925313,-830.000000
747.940213,-890.000000
747.955113,-817.000000
747.970012,-898.000000
747.984912,-874.000000
747.999811,-887.000000
748.014710,-815.000000
748.029609,-808.000000
748.044508,-857.000000
748.059407,-840.000000
748.074305,-861.000000
748.089203,-839.000000
748.104101,-893.000000
748.118999,-929.000000
748.133896,-885.000000
748.148794,-786.000000
748.163691,-820.000000
748.178588,-904.000000
748.193484,-764.000000
748.208381,-797.000000
748.223277,-851.000000
748.238173,-809.000000
748.253069,-910.000000
748.267965,-856.000000
748.282860,-859.000000
748.297756,-921.000000
748.312651,-825.000000
748.327546,-861.000000
748.342440,-929.000000
748.357335,-910.000000
748.372229,-758.000000
748.387123,-843.000000
748.402017,-851.000000
748.416911,-962.000000
748.431804,-883.000000
748.446697,-889.000000
748.461590,-816.000000
748.476483,-800.000000
748.491376,-787.000000
748.506268,-896.000000
748.521160,-859.000000
748.536052,-751.000000
748.550944,-832.000000
748.565836,-854.000000
748.580727,-870.000000
748.595618,-996.000000
748.610509,-821.000000
748.625400,-863.000000
748.640291,-916.000000
748.655181,-862.000000
748.670071,-770.000000
748.684961,-862.000000
748.699851,-908.000000
748.714741,-896.000000
748.729630,-863.000000
748.744519,-769.000000
748.759408,-845.000000
748.774297,-852.000000
748.789186,-850.000000
748.804074,-789.000000
748.818962,-900.000000
748.833850,-872.000000
748.848738,-838.000000
748.863625,-852.000000
748.878512,-851.000000
748.893400,-844.000000
748.908287,-864.000000
748.923173,-853.000000
748.938060,-789.000000
748.952946,-895.000000
748.967832,-878.000000
748.982718,-774.000000
748.997604,-777.000000
749.012489,-848.000000
749.027374,-933.000000
749.042260,-850.000000
749.057144,-823.000000
749.072029,-880.000000
749.086914,-870.000000
749.101798,-848.000000
749.116682,-863.000000
749.131566,-883.000000
749.146449,-810.000000
749.161333,-892.000000
749.176216,-860.000000
749.191099,-870.000000
749.205982,-790.000000
749.220864,-841.000000
749.235747,-765.000000
749.250629,-838.000000
749.265511,-823.000000
749.280393,-742.000000
749.295274,-800.000000
749.310156,-851.000000
749.325037,-855.000000
749.339918,-799.000000
749.354799,-839.000000
749.369679,-855.000000
749.384560,-721.000000
749.399440,-796.000000
749.414320,-861.000000
749.429199,-880.000000
749.444079,-870.000000
749.458958,-819.000000
749.473837,-840.000000
749.488716,-799.000000
749.503595,-733.000000
749.518474,-830.000000
749.533352,-894.000000
749.548230,-812.000000
749.563108,-829.000000
749.577986,-907.000000
749.592863,-898.000000
749.607740,-857.000000
749.622617,-802.000000
749.637494,-867.000000
749.652371,-836.000000
749.667247,-908.000000
749.682124,-803.000000
749.697000,-875.000000
749.711875,-901.000000
749.726751,-892.000000
749.741627,-780.000000
749.756502,-824.000000
749.771377,-828.000000
749.786252,-903.000000
749.801126,-805.000000
749.816001,-748.000000
749.830875,-812.000000
749.845749,-805.000000
749.860623,-792.000000
749.875496,-868.000000
749.890369,-880.000000
749.905243,-828.000000
749.920116,-793.000000
749.934988,-846.000000
749.949861,-882.000000
749.964733,-668.000000
749.979605,-885.000000
749.994477,-854.000000
750.009349,-874.000000
750.024220,-802.000000
750.039092,-867.000000
750.053963,-840.000000
750.068834,-897.000000
750.083704,-842.000000
750.098575,-853.000000
750.113445,-850.000000
750.128315,-748.000000
750.143185,-711.000000
750.158055,-793.000000
750.172924,-809.000000
750.187794,-819.000000
750.202663,-871.000000
750.217531,-817.000000
750.232400,-886.000000
750.247268,-926.000000
750.262137,-907.000000
750.277005,-835.000000
750.291872,-839.000000
